    um                erg/s/Hz  
    1.000000e-05      3.198450e-23
    1.005542e-05      3.216260e-23
    1.011114e-05      3.240644e-23
    1.016717e-05      3.258718e-23
    1.022351e-05      3.276894e-23
    1.028016e-05      3.295171e-23
    1.033713e-05      3.313549e-23
    1.039441e-05      3.332031e-23
    1.045201e-05      3.350616e-23
    1.050993e-05      3.369304e-23
    1.056818e-05      3.388097e-23
    1.062674e-05      3.406995e-23
    1.068563e-05      3.425998e-23
    1.074484e-05      3.445107e-23
    1.080438e-05      3.464323e-23
    1.086426e-05      3.483647e-23
    1.092446e-05      3.503078e-23
    1.098500e-05      3.522618e-23
    1.104587e-05      3.542267e-23
    1.110708e-05      3.562026e-23
    1.116863e-05      3.581895e-23
    1.123052e-05      3.601875e-23
    1.129276e-05      3.621967e-23
    1.135534e-05      3.642170e-23
    1.141826e-05      3.662487e-23
    1.148154e-05      3.682917e-23
    1.154516e-05      3.703461e-23
    1.160914e-05      3.724120e-23
    1.167347e-05      3.744895e-23
    1.173816e-05      3.765785e-23
    1.180321e-05      3.786792e-23
    1.186861e-05      3.807917e-23
    1.193438e-05      3.829159e-23
    1.200052e-05      3.850520e-23
    1.206702e-05      3.872001e-23
    1.213389e-05      3.893601e-23
    1.220113e-05      3.915322e-23
    1.226874e-05      3.937165e-23
    1.233673e-05      3.959129e-23
    1.240509e-05      3.981216e-23
    1.247384e-05      4.003427e-23
    1.254296e-05      4.025761e-23
    1.261247e-05      4.048220e-23
    1.268236e-05      4.070805e-23
    1.275264e-05      4.093516e-23
    1.282331e-05      4.116354e-23
    1.289437e-05      4.139319e-23
    1.296582e-05      4.162413e-23
    1.303767e-05      4.185636e-23
    1.310992e-05      4.208988e-23
    1.318257e-05      4.232471e-23
    1.325562e-05      4.256085e-23
    1.332907e-05      4.279831e-23
    1.340294e-05      4.303710e-23
    1.347721e-05      4.327722e-23
    1.355189e-05      4.351868e-23
    1.362699e-05      4.376150e-23
    1.370251e-05      4.400566e-23
    1.377844e-05      4.425120e-23
    1.385479e-05      4.449810e-23
    1.393157e-05      4.474639e-23
    1.400877e-05      4.499606e-23
    1.408640e-05      4.524712e-23
    1.416446e-05      4.549959e-23
    1.424295e-05      4.575347e-23
    1.432188e-05      4.600877e-23
    1.440124e-05      4.626550e-23
    1.448105e-05      4.652366e-23
    1.456129e-05      4.678326e-23
    1.464199e-05      4.704431e-23
    1.472313e-05      4.730683e-23
    1.480471e-05      4.757081e-23
    1.488675e-05      4.783626e-23
    1.496925e-05      4.810320e-23
    1.505220e-05      4.837163e-23
    1.513561e-05      4.864156e-23
    1.521949e-05      4.891300e-23
    1.530383e-05      4.918595e-23
    1.538863e-05      4.946043e-23
    1.547391e-05      4.973645e-23
    1.555966e-05      5.001400e-23
    1.564588e-05      5.029311e-23
    1.573258e-05      5.057378e-23
    1.581976e-05      5.085602e-23
    1.590743e-05      5.113983e-23
    1.599558e-05      5.142524e-23
    1.608422e-05      5.171223e-23
    1.617335e-05      5.200083e-23
    1.626298e-05      5.229105e-23
    1.635310e-05      5.258288e-23
    1.644372e-05      5.287635e-23
    1.653484e-05      5.317146e-23
    1.662647e-05      5.346821e-23
    1.671860e-05      5.376663e-23
    1.681125e-05      5.406671e-23
    1.690441e-05      5.436848e-23
    1.699809e-05      5.467192e-23
    1.709228e-05      5.497707e-23
    1.718700e-05      5.528392e-23
    1.728224e-05      5.559249e-23
    1.737801e-05      5.590278e-23
    1.747431e-05      5.621480e-23
    1.757114e-05      5.652857e-23
    1.766851e-05      5.684410e-23
    1.776642e-05      5.716139e-23
    1.786488e-05      5.748045e-23
    1.796387e-05      5.780129e-23
    1.806342e-05      5.812393e-23
    1.816352e-05      5.844838e-23
    1.826417e-05      5.877464e-23
    1.836538e-05      5.910272e-23
    1.846716e-05      5.943263e-23
    1.856949e-05      5.976440e-23
    1.867239e-05      6.009801e-23
    1.877587e-05      6.043349e-23
    1.887991e-05      6.077085e-23
    1.898454e-05      6.111010e-23
    1.908974e-05      6.145124e-23
    1.919553e-05      6.179428e-23
    1.930190e-05      6.213925e-23
    1.940886e-05      6.248615e-23
    1.951641e-05      6.283498e-23
    1.962456e-05      6.318577e-23
    1.973331e-05      6.353852e-23
    1.984266e-05      6.389324e-23
    1.995262e-05      6.424994e-23
    2.006319e-05      6.460864e-23
    2.017437e-05      6.496935e-23
    2.028617e-05      6.533207e-23
    2.039858e-05      6.569682e-23
    2.051162e-05      6.606361e-23
    2.062529e-05      6.643246e-23
    2.073958e-05      6.680336e-23
    2.085451e-05      6.717634e-23
    2.097008e-05      6.755141e-23
    2.108628e-05      6.792857e-23
    2.120313e-05      6.830785e-23
    2.132063e-05      6.868924e-23
    2.143878e-05      6.907277e-23
    2.155758e-05      6.945844e-23
    2.167704e-05      6.984627e-23
    2.179716e-05      7.023627e-23
    2.191795e-05      7.062846e-23
    2.203941e-05      7.102283e-23
    2.216154e-05      7.141941e-23
    2.228435e-05      7.181821e-23
    2.240784e-05      7.221924e-23
    2.253201e-05      7.262252e-23
    2.265687e-05      7.302805e-23
    2.278243e-05      7.343585e-23
    2.290868e-05      7.384593e-23
    2.303563e-05      7.425830e-23
    2.316328e-05      7.467299e-23
    2.329164e-05      7.508999e-23
    2.342071e-05      7.550932e-23
    2.355049e-05      7.593100e-23
    2.368100e-05      7.635504e-23
    2.381223e-05      7.678146e-23
    2.394418e-05      7.721026e-23
    2.407687e-05      7.764145e-23
    2.421029e-05      7.807506e-23
    2.434445e-05      7.851110e-23
    2.447936e-05      7.894958e-23
    2.461501e-05      7.939051e-23
    2.475141e-05      7.983390e-23
    2.488857e-05      8.027978e-23
    2.502649e-05      8.072816e-23
    2.516518e-05      8.117904e-23
    2.530463e-05      8.163244e-23
    2.544486e-05      8.208838e-23
    2.558586e-05      8.254688e-23
    2.572764e-05      8.300794e-23
    2.587021e-05      8.347158e-23
    2.601357e-05      8.393781e-23
    2.615773e-05      8.440666e-23
    2.630268e-05      8.487812e-23
    2.644844e-05      8.535223e-23
    2.659500e-05      8.582899e-23
    2.674238e-05      8.630842e-23
    2.689057e-05      8.679053e-23
    2.703958e-05      8.727534e-23
    2.718942e-05      8.776286e-23
    2.734009e-05      8.825311e-23
    2.749160e-05      8.874611e-23
    2.764394e-05      8.924186e-23
    2.779713e-05      8.974039e-23
    2.795117e-05      9.024171e-23
    2.810606e-05      9.074584e-23
    2.826181e-05      9.125278e-23
    2.841842e-05      9.176257e-23
    2.857591e-05      9.227521e-23
    2.873426e-05      9.279072e-23
    2.889349e-05      9.330911e-23
    2.905360e-05      9.383041e-23
    2.921460e-05      9.435462e-23
    2.937650e-05      9.488177e-23
    2.953929e-05      9.541187e-23
    2.970298e-05      9.594494e-23
    2.986758e-05      9.648099e-23
    3.003309e-05      9.702004e-23
    3.019952e-05      9.756211e-23
    3.036687e-05      9.810722e-23
    3.053515e-05      9.865538e-23
    3.070436e-05      9.920660e-23
    3.087450e-05      9.976091e-23
    3.104560e-05      1.003183e-22
    3.121764e-05      1.008789e-22
    3.139063e-05      1.014425e-22
    3.156458e-05      1.020094e-22
    3.173949e-05      1.025794e-22
    3.191538e-05      1.031526e-22
    3.209224e-05      1.037290e-22
    3.227008e-05      1.043086e-22
    3.244890e-05      1.048915e-22
    3.262872e-05      1.054776e-22
    3.280953e-05      1.060671e-22
    3.299134e-05      1.066598e-22
    3.317416e-05      1.072558e-22
    3.335800e-05      1.078552e-22
    3.354285e-05      1.084580e-22
    3.372873e-05      1.090641e-22
    3.391564e-05      1.096736e-22
    3.410358e-05      1.102865e-22
    3.429257e-05      1.109028e-22
