sb_name,ALMA_source_combined,cell_size,n_pixels,band_range,spw,nchan,beam_size
J0842+12_a_06_TE,J0842+1218_uid___A001_X2fb_X3ec,0.14945245510139565,256.0,1.8700000000000045 GHz,268.76 GHz~270.63 GHz,964,0.7472622755069782
J0842+12_a_06_TM1,J0842+1218_uid___A001_X885_X36b,0.04399860062982128,1024.0,1.8700000000000045 GHz,267.67 GHz~269.54 GHz,478,0.2199930031491064
J0842+12_a_08_TM1,J0842+1218C1_uid___A001_X1590_X1ef6,0.028961000683571186,1024.0,1.8699999999999477 GHz,478.4100000000001 GHz~480.28 GHz,1656,0.14480500341785593
J1306+03_a_06_TE,J1306+0356_uid___A001_X2fb_X40c,0.14945245510139565,256.0,1.8700000000000045 GHz,254.95 GHz~256.82 GHz,964,0.7472622755069782
J1306+03_a_06_TM1,J1306+0356_uid___A001_X1273_X374,0.03538888489064966,1024.0,1.8700000000000045 GHz,270.8 GHz~272.67 GHz,964,0.1769444244532483
J1306+03_a_08_TM1,J1306+0356C1_uid___A001_X1590_X1f02,0.03064558386873901,1024.0,1.8799999999999955 GHz,468.5 GHz~470.38 GHz,1665,0.15322791934369503
J1319+0950_266GHz_12m_C32-6,J1319+0950_uid___A002_X7fb989_X18,0.0390108376795532,1024.0,1.990000000000009 GHz,265.48 GHz~267.47 GHz,63,0.195054188397766
J1319+09_a_03_TM1,J1319+0950_uid___A001_X1465_X380c,0.177470166182298,512.0,1.8699999999999903 GHz,112.34 GHz~114.21000000000001 GHz,964,0.88735083091149
J1319+09_a_08_TM1,J1319+0950C1_uid___A001_X1590_X1f06,0.028961000683571186,1024.0,1.8700000000000045 GHz,467.28 GHz~469.15 GHz,1656,0.14480500341785593
J1509-17_a_06_TE,J1509-1749_uid___A001_X2fb_X414,0.14945245510139565,256.0,1.8700000000000045 GHz,266.81 GHz~268.68 GHz,964,0.7472622755069782
J1509-17_a_03_TM1,J1509-1749_uid___A001_X1465_X3824,0.24724794581073767,512.0,1.8699999999999903 GHz,112.50999999999999 GHz~114.38 GHz,964,1.2362397290536884
J1509-17_c_06_TM1,J1509-1749_uid___A001_X1590_X11e2,0.024774998535543626,2048.0,1.8700000000000045 GHz,254.26 GHz~256.13 GHz,478,0.12387499267771813
J1509-17_a_06_TM1,J1509-1749_uid___A001_X1590_X11c6,0.03800519154078346,1024.0,1.8699999999999761 GHz,249.8 GHz~251.67000000000002 GHz,478,0.1900259577039173
J1509-17_b_06_TM1,J1509-1749_uid___A001_X1590_X11de,0.03800519154078346,1024.0,1.8700000000000045 GHz,256.34 GHz~258.21 GHz,478,0.1900259577039173
PJ065-26_a_06_TE,PJ065-26_uid___A001_X2fb_X3e4,0.10924560034470687,512.0,1.8800000000000523 GHz,265.3399999999999 GHz~267.22 GHz,969,0.5462280017235344
PJ065-26_a_06_TM1,PJ065-26_uid___A001_X1273_X36c,0.03538888489064966,1024.0,1.8799999999999955 GHz,265.05 GHz~266.93 GHz,969,0.1769444244532483
PJ065-26_a_03_TM1,PJ065-26_uid___A001_X1465_X3830,0.15783745372546298,1024.0,1.8699999999999903 GHz,111.47999999999999 GHz~113.35 GHz,964,0.7891872686273149
PJ231-20_a_06_TE,PJ231-20_uid___A001_X2fb_X440,0.14945245510139565,256.0,1.8700000000000045 GHz,249.99 GHz~251.86 GHz,964,0.7472622755069782
PJ231-20_a_03_TM1,PJ231-20_uid___A001_X1465_X3810,0.0799361676735035,2048.0,1.8700000000000045 GHz,105.57 GHz~107.44 GHz,964,0.3996808383675175
PJ231-20_a_08_7M,PJ231-20_uid___A001_X15aa_X1f7,0.524449737785845,128.0,2.0 GHz,398.98 GHz~400.98 GHz,512,2.622248688929225
PJ231-20_a_04_TM1,PJ231-20_uid___A001_X2d1f_X829,0.034361397962820464,2048.0,1.8700000000000045 GHz,138.38 GHz~140.25 GHz,964,0.17180698981410233
PJ231-20_a_08_TM1,PJ231-20_uid___A001_X2d1f_X82d,0.009015926437951058,4096.0,1.8700000000000045 GHz,390.31 GHz~392.18 GHz,478,0.04507963218975529
PJ308-21_a_06_TE,PJ308-21_uid___A001_X2fb_X418,0.10753720925324217,512.0,1.8700000000000045 GHz,262.8 GHz~264.67 GHz,964,0.5376860462662109
PJ308-21_a_06_TM1,PJ308-21_uid___A001_X11a4_Xf,0.04399860062982128,1024.0,1.8700000000000045 GHz,262.24 GHz~264.11 GHz,1656,0.2199930031491064
PJ308-21_a_03_TM1,PJ308-21_uid___A001_X1465_X382c,0.15783745372546298,1024.0,1.8700000000000045 GHz,110.75 GHz~112.62 GHz,964,0.7891872686273149
PSO_J167_a_06_TE,PSO_J167.6415-13.4960_uid___A001_X2d6_X7d,0.10753720925324217,512.0,1.9799999999999898 GHz,252.14999999999998 GHz~254.13 GHz,63,0.5376860462662109
