#redshift	Luminosity(K km s-1 pc2)	Sigma(Jy)	luminosity distance(Mpc)
0.053 	 1445439770.745928 	 0.05466302882840955 	 238.57818047687903
0.064 	 831763771.1026709 	 0.021453834676399833 	 290.3900500775607
0.068 	 1548816618.9124796 	 0.035318026536004174 	 309.42171900130666
0.078 	 2137962089.5022326 	 0.0368750842784911 	 357.4425519585584
0.082 	 3548133892.3357606 	 0.05526769728510478 	 376.82640556287885
0.117 	 2754228703.3381634 	 0.02074186252245234 	 550.6378911787574
0.134 	 1000000000.0000000 	 0.005699941488906287 	 637.7268626511925
0.14 	 2884031503.1266117 	 0.015022641147566395 	 668.87145389974
0.204 	 4677351412.871982 	 0.01119911242492386 	 1013.875955488852
0.215 	 4168693834.7033467 	 0.008951922410385582 	 1075.4577826968816
1.016 	 8128305161.640995 	 0.0007118114253182567 	 6860.032433895888
1.016 	 15848931924.611109 	 0.001387921663702877 	 6860.032433895888
1.07 	 24547089156.850334 	 0.001940751007294751 	 7315.830673102547
1.084 	 10232929922.807537 	 0.0007886192203393016 	 7434.95870956693
1.148 	 14791083881.682072 	 0.0010187835871779247 	 7984.349719745006
1.17 	 14454397707.45928 	 0.0009594330871881868 	 8174.965030805662
1.193 	 22387211385.683376 	 0.0014307957073509318 	 8375.174876710005
1.2 	 34673685045.2531 	 0.0021910184881510832 	 8436.293912720892
1.223 	 48977881936.84457 	 0.0029831058499444002 	 8637.713238725592
1.246 	 17378008287.493763 	 0.0010210061852905614 	 8840.036778585349
1.249 	 4570881896.148752 	 0.0002673083487237357 	 8866.492450525126
1.406 	 26915348039.26914 	 0.0012548626232559068 	 10271.008817403877
1.41 	 53703179637.02533 	 0.0024903224042775052 	 10307.280995241472
1.413 	 11220184543.019653 	 0.0005182092042485778 	 10334.500298834182
1.434 	 25703957827.68865 	 0.0011544374296945132 	 10525.39661540599
1.438 	 426579518801.59344 	 0.019058214450417856 	 10561.82891558542
1.44 	 66069344800.75964 	 0.0029440207116052234 	 10580.053532264921
1.465 	 25118864315.09582 	 0.0010834932908142284 	 10808.333358297466
1.517 	 23988329190.194946 	 0.0009690316274307365 	 11285.895230306704
1.523 	 24547089156.850334 	 0.000984291200708685 	 11341.231263039832
1.556 	 12589254117.941662 	 0.0004849564964738399 	 11646.419157994085
1.562 	 457088189614.8752 	 0.0174816066845593 	 11702.058711103698
1.577 	 57543993733.71567 	 0.002161912829358488 	 11841.357754687728
1.597 	 29512092266.663902 	 0.001083043321246234 	 12027.529838246592
1.827 	 83176377110.26709 	 0.0023830536434132393 	 14202.32273586458
1.864 	 66069344800.75964 	 0.001825242240543041 	 14557.59503133707
1.994 	 64565422903.46562 	 0.0015796013935408131 	 15816.687218342024
1.996 	 45708818961.48752 	 0.0011162653716543039 	 15836.184787084194
1.996 	 50118723362.72715 	 0.0012239606411286108 	 15836.184787084194
1.996 	 72443596007.49892 	 0.0017691613885149784 	 15836.184787084194
1.996 	 26915348039.26914 	 0.0006573057817917847 	 15836.184787084194
2.006 	 32359365692.96281 	 0.0007832148490697613 	 15933.728551721326
2.037 	 87096358995.60797 	 0.0020510486631672657 	 16236.701109879034
2.095 	 33113112148.259075 	 0.000741761898417921 	 16805.88736019669
2.102 	 117489755493.95303 	 0.002616327566766212 	 16874.783926797267
2.119 	 45708818961.48752 	 0.0010034289962175438 	 17042.281965668448
2.128 	 61659500186.148094 	 0.0013434611229257683 	 17131.058690786238
2.201 	 45708818961.48752 	 0.0009383332517110318 	 17853.676700387674
2.202 	 75857757502.91852 	 0.001556000768827515 	 17863.606463108128
2.247 	 52480746024.97734 	 0.0010388938712485771 	 18311.28974438005
2.292 	 47863009232.2638 	 0.000915152247513366 	 18760.595532021056
2.326 	 28183829312.644493 	 0.000525207907756392 	 19101.12192255707
2.377 	 33884415613.920204 	 0.00060805752373078 	 19613.56682636867
2.385 	 102329299228.07536 	 0.0018256265680047824 	 19694.12750350518
2.44 	 23988329190.194946 	 0.0004114026291499903 	 20249.25606402067
2.45 	 107151930523.76048 	 0.0018247312886077616 	 20350.424391509765
2.488 	 97723722095.58112 	 0.001620591790947053 	 20735.513902112332
2.505 	 25703957827.68865 	 0.0004212935530607183 	 20908.120141337822
2.517 	 51286138399.13659 	 0.0008337142841228342 	 21030.080999526665
2.541 	 97723722095.58112 	 0.001562939262106453 	 21274.30078985675
2.583 	 85113803820.2376 	 0.0013235759785954647 	 21702.629094513315
2.766 	 74131024130.09161 	 0.0010262006337982536 	 23582.367392944205
2.846 	 87096358995.60797 	 0.0011491513384117792 	 24410.653650639648
3.094 	 239883291901.9495 	 0.002753541059878156 	 27001.725826252197
3.532 	 117489755493.95303 	 0.0010862248522693063 	 31655.44809769597
3.796 	 181970085860.99826 	 0.0014986532300014436 	 34502.64523288753
4.055 	 141253754462.27554 	 0.0010478185740368344 	 37323.37566737267
