Line,freq(GHz),c,err_c
13CO(3–2) 906.85,330.588,-6.600630808421517,0.1221453230352896
13CO(4–3) 680.16,440.7652,-6.2327095939533335,0.1034034480722028
13CO(5–4) 544.16,550.9263,-6.595263486608609,0.8996099982281645
13CO(6–5) 453.5,661.0673,-6.005624458524589,0.4067202290839978
ArII 6.98,42950.208882521496,-3.96,0.32
ArIII 21.82,13739.34271310724,-5.4,0.7
ArIII 8.99,33347.32569521691,-4.22,0.69
ArV 13.09,22902.40320855615,0.0,0.0
ArV 7.9,37948.41240506329,0.0,0.0
C18O(3–2) 910.31,329.3305,-7.566678137105819,1.1787993080231125
C18O(5–4) 546.24,548.831,-6.262056296472447,0.3915769918799812
C18O(6–5) 455.23,658.5533,-5.738047235005972,0.2245081643737149
CCH(3–2) 1144.23,262.0042,-6.429852297936956,0.2199969422764504
CCH(4–3) 858.17,349.3387,-6.778629437589323,0.1990516375389904
CCH(5–4) 686.56,436.6604,-6.646300604181381,0.2518907995038861
CCH(6–5) 572.16,523.9704,-5.964766972191933,0.1624698781220798
CCH(7–6) 490.45,611.265,-5.754725100336553,0.2049135935740695
CH 562.75,532.7239,-5.985824944281879,0.1688922985179312
CH 558.52,536.7614,-6.094086969390873,0.2171472409516259
CH3OH(5-4) 1240.01,241.767,-5.49,0.39
CH3OH(6-5) 1033.25,290.146,-5.34,0.37
CI 370.42,809.3311862210464,-4.88,0.24
CI 609.14,492.1569064582855,-5.14,0.33
CII 157.7,1901.030171211161,-2.78,0.4
CN(N = 3–2) 881.1,340.2478,-6.613411204614894,0.1333360251457352
CN(N = 4–3) 660.91,453.6067,-6.336622258958108,0.1384015381889484
CN(N = 5–4) 528.78,566.947,-6.226923398235466,0.3763885509828183
CO(10-9) 260.2,1152.1616372021524,-5.16,0.34
CO(11-10) 237.0,1264.9470801687764,-5.23,0.33
CO(12-11) 217.0,1381.5320645161291,-5.33,0.39
CO(13-12) 200.0,1498.9622900000002,-5.26,0.32
CO(1–0)a 2600.76,115.2712,-6.60836844375991,0.0241600099507877
CO(2-1) 1300.4,230.538,-5.53,0.34
CO(3-2) 866.96,345.796,-5.43,0.33
CO(4-3) 650.3,461.006393972013,-5.09,0.38
CO(5-4) 520.2,576.3023029603999,-5.02,0.34
CO(6-5) 433.6,691.4032702952029,-5.02,0.35
CO(7-6) 371.7,806.5441431261771,-5.12,0.38
CO(8-7) 325.2,921.8710270602706,-5.12,0.35
CO(9-8) 289.1,1036.9853268765132,-5.18,0.36
