Line,freq(GHz),N,Intensity,Error,c,err_c
CO(1–0)a,115.2712,5,296.6,16.5,-6.60836844375991,0.024160009950787778
CH,536.7614,10,9.6,4.8,-6.094086969390873,0.2171472409516259
CO(2–1)a,230.538,10,329.0,12.9,-5.660278571833717,0.01702856783146489
OH 425,425.0363,8,-1.7,2.9,,0.7408552926584885
CO(3–2),345.796,6,256.9,10.2,-5.239478033277244,0.0172432997875172
OH 446,446.291,10,5.0,2.8,-6.61787764242664,0.24320490986582105
CO(4–3),461.0408,12,179.1,9.3,-5.021388366982329,0.022551304755445246
CN(N = 3–2),340.2478,5,11.4,3.5,-6.613411204614894,0.13333602514573523
CO(5–4),576.2679,10,199.8,16.8,-4.68323326352078,0.036517253733606765
CN(N = 4–3),453.6067,10,9.1,2.9,-6.336622258958108,0.1384015381889484
CO(6–5),691.4731,2,136.3,30.4,-4.611880308528147,0.09686391966147363
CN(N = 5–4),566.947,11,6.0,5.2,-6.226923398235466,0.3763885509828183
13CO(3–2),330.588,5,12.8,3.6,-6.600630808421517,0.1221453230352896
CN(N = 6–5),680.2641,2,-16.4,6.0,,0.1588882250865556
13CO(4–3),440.7652,9,12.6,3.0,-6.2327095939533335,0.10340344807220282
SiO(7–6),303.927,4,-2.6,4.0,,0.6681453567742337
13CO(5–4),550.9263,9,2.8,5.8,-6.595263486608609,0.8996099982281645
SiO(8–7),347.3306,6,-5.1,3.6,,0.3065608107552366
13CO(6–5),661.0673,4,6.3,5.9,-6.005624458524589,0.4067202290839978
SiO(9–8),390.7284,7,-4.9,4.0,,0.3545261076761239
C18O(3–2),329.3305,5,1.4,3.8,-7.566678137105819,1.1787993080231123
SiO(10–9),434.1196,8,-0.0,2.8,-inf,inf
C18O(4–3),439.0888,7,-6.0,4.5,,0.3257208614274389
SiO(11–10),477.5031,11,-3.4,3.8,,0.48538795036245796
C18O(5–4),548.831,9,6.1,5.5,-6.262056296472447,0.3915769918799812
SiO(12–11),520.8782,11,8.8,5.3,-6.171010816525105,0.2615637220553676
C18O(6–5),658.5533,4,11.8,6.1,-5.738047235005972,0.22450816437371496
SiO(13–12),564.244,11,-7.7,5.3,,0.29892996806327726
[CI](1–0),492.1606,13,47.5,3.7,-5.512687893976676,0.033829254379832245
SiO(14–13),607.5994,8,2.2,6.6,-6.572427343515102,1.3028834457097556
HCN(3–2),265.8864,2,-14.2,10.1,,0.3088995962832988
SiO(15–14),650.9436,4,-10.8,6.0,,0.24127471216847327
HCN(4–3),354.5055,6,13.4,3.2,-6.489728302568402,0.1037121150813736
SiO(16–15),694.2754,2,9.8,9.8,-5.749880625622985,0.43429448190325187
HCN(5–4),443.1161,9,4.4,2.8,-6.682696767444449,0.27636921575661477
SiO(17–16),737.5939,2,-5.4,9.5,,0.7640365885334988
HCN(6–5),531.7164,10,3.9,5.0,-6.497597259235119,0.5567877973118613
CS(6–5),293.9122,3,1.3,6.0,-7.747105840292845,2.004436070322701
HCN(7–6),620.304,7,7.2,7.0,-6.030555791788816,0.4222307462948282
CS(7–6),342.883,5,1.2,3.4,-7.581082926761037,1.2305010320592136
HCN(8–7),708.877,2,25.7,10.2,-5.304056253195232,0.1723659033234696
CS(8–7),391.847,7,2.7,3.7,-7.054988690753303,0.5951442900155673
HNC(3–2),271.9811,3,2.2,8.5,-7.6196631747823025,1.6779559528080186
CS(10–9),489.751,13,-5.9,3.5,,0.25763231977311546
HNC(4–3),362.6303,5,16.2,4.2,-6.377794750998462,0.11259486567862086
