science_keyword,band_list
Main sequence stars,3
Low-mass star formation,6
"Damped Lyman Alpha (DLA) systems, Galaxy structure & evolution",9
Disks around low-mass stars,6
"Starbursts, star formation, Merging and interacting galaxies",6
"Starbursts, star formation, Merging and interacting galaxies",9
"Starburst galaxies, Sub-mm Galaxies (SMG)",3
"Hypergiants, Evolved stars - Shaping/physical structure",6
Galaxy structure & evolution,6
"Inter-Stellar Medium (ISM)/Molecular clouds, Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR)",7
"Gravitational lenses, Galaxy Clusters",7
"Sub-mm Galaxies (SMG), Galaxy Clusters",6
"Outflows, jets and ionized winds, High-mass star formation",6
"Active Galactic Nuclei (AGN)/Quasars (QSO), Spiral galaxies",6
"Outflows, jets and ionized winds, Low-mass star formation",7
High-z Active Galactic Nuclei (AGN),4
Asymptotic Giant Branch (AGB) stars,7
"High-z Active Galactic Nuclei (AGN), Gravitational lenses",3
"Merging and interacting galaxies, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",7
"Debris disks, Disks around low-mass stars",7
"Starbursts, star formation",8
"Outflows, jets, feedback, Early-type galaxies",3
"Low-mass star formation, Astrochemistry",3
Evolved stars - Shaping/physical structure,7
Damped Lyman Alpha (DLA) systems,7
Astrochemistry,9
"Lyman Break Galaxies (LBG), Gamma Ray Bursts (GRB)",7
"Active Galactic Nuclei (AGN)/Quasars (QSO), Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",4
Disks around high-mass stars,3
Gamma Ray Bursts (GRB),3
Gamma Ray Bursts (GRB),7
Astrochemistry,5
"Exo-planets, Solar system - Planetary atmospheres",7
"Asymptotic Giant Branch (AGB) stars, Evolved stars - Chemistry",3
"Asymptotic Giant Branch (AGB) stars, Evolved stars - Chemistry",7
"Galactic centres/nuclei, Dwarf/metal-poor galaxies",6
"Outflows, jets, feedback, Galaxy groups and clusters",3
"Supernovae (SN) ejecta, Pulsars and neutron stars",6
"Galaxy chemistry, Giant Molecular Clouds (GMC) properties",6
"Spiral galaxies, Galaxy groups and clusters",3
"Starbursts, star formation, Surveys of galaxies",3
Transients,3
"Astrochemistry, Inter-Stellar Medium (ISM)/Molecular clouds",3
"High-mass star formation, Low-mass star formation",3
Inter-Stellar Medium (ISM)/Molecular clouds,4
"Starbursts, star formation, Active Galactic Nuclei (AGN)/Quasars (QSO)",6
"Post-AGB stars, Evolved stars - Shaping/physical structure",6
"Debris disks, Disks around low-mass stars",6
"Starburst galaxies, High-z Active Galactic Nuclei (AGN)",8
"Starbursts, star formation, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",5
Active Galactic Nuclei (AGN)/Quasars (QSO),8
"Starbursts, star formation",6
"Starbursts, star formation, Giant Molecular Clouds (GMC) properties",7
"Debris disks, Disks around high-mass stars",6
"Evolved stars - Chemistry, Transients",5
Solar system - Trans-Neptunian Objects (TNOs),3
"Solar system - Planetary surfaces, Solar system - Trans-Neptunian Objects (TNOs)",7
"Galactic centres/nuclei, Giant Molecular Clouds (GMC) properties",3
"Merging and interacting galaxies, Surveys of galaxies",3
"Lyman Break Galaxies (LBG), Galaxy structure & evolution",3
Solar system - Comets,5
"Spiral galaxies, Giant Molecular Clouds (GMC) properties",6
"High-mass star formation, HII regions",3
"Early-type galaxies, Galaxy chemistry",3
"Sub-mm Galaxies (SMG), Damped Lyman Alpha (DLA) systems",6
"Starburst galaxies, Galaxy Clusters",6
"High-mass star formation, HII regions",6
Gamma Ray Bursts (GRB),6
"Merging and interacting galaxies, Surveys of galaxies",8
"Sub-mm Galaxies (SMG), Damped Lyman Alpha (DLA) systems",3
"Outflows, jets, feedback, Galaxy groups and clusters",5
High-mass star formation,5
"Starbursts, star formation, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",3
"Intermediate-mass star formation, Pre-stellar cores, Infra-Red Dark Clouds (IRDC)",4
"Damped Lyman Alpha (DLA) systems, Galaxy structure & evolution",3
"Gravitational lenses, Galaxy structure & evolution",7
Inter-Stellar Medium (ISM)/Molecular clouds,8
Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR),8
"Sub-mm Galaxies (SMG), Galaxy Clusters",4
"Spiral galaxies, Dwarf/metal-poor galaxies",6
"Disks around low-mass stars, Disks around high-mass stars",4
"Starburst galaxies, Gamma Ray Bursts (GRB)",7
"Main sequence stars, Asymptotic Giant Branch (AGB) stars",6
"Main sequence stars, Asymptotic Giant Branch (AGB) stars",7
"Disks around low-mass stars, Exo-planets",3
Luminous Blue Variables (LBV),6
"Galaxy chemistry, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",7
"Galaxy chemistry, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",5
"Disks around low-mass stars, Solar system - Comets",5
"Sub-mm Galaxies (SMG), Galaxy Clusters",8
"Dwarf/metal-poor galaxies, Giant Molecular Clouds (GMC) properties",8
"High-mass star formation, Intermediate-mass star formation",8
"Evolved stars - Chemistry, Transients",6
"Galaxy chemistry, Galactic centres/nuclei",6
"Active Galactic Nuclei (AGN)/Quasars (QSO), Galactic centres/nuclei",4
"Sub-mm Galaxies (SMG), Gamma Ray Bursts (GRB)",6
"Lyman Break Galaxies (LBG), High-z Active Galactic Nuclei (AGN)",7
"Lyman Break Galaxies (LBG), Galaxy structure &evolution",6
"Pre-stellar cores, Infra-Red Dark Clouds (IRDC), Astrochemistry",9
"Gravitational lenses, Damped Lyman Alpha (DLA) systems",3
"Surveys of galaxies, Galaxy chemistry",3
"Surveys of galaxies, Galaxy chemistry",4
"Lyman Alpha Emitters/Blobs (LAE/LAB), High-z Active Galactic Nuclei (AGN)",6
"Hypergiants, Evolved stars - Shaping/physical structure",7
"Hypergiants, Evolved stars - Shaping/physical structure",8
"Galaxy groups and clusters, Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",4
"Asymptotic Giant Branch (AGB) stars, Evolved stars - Chemistry",10
"Starburst galaxies, Galaxy groups and clusters",7
"Spiral galaxies, Outflows, jets, feedback",7
"Disks around high-mass stars, Exo-planets",4
"Starburst galaxies, Damped Lyman Alpha (DLA) systems",3
Debris disks,9
"Merging and interacting galaxies, Starbursts, star formation",7
"Galactic centres/nuclei, Active Galactic Nuclei (AGN)/Quasars (QSO)",6
"Pre-stellar cores, Infra-Red Dark Clouds (IRDC), High-mass star formation",6
"Outflows, jets and ionized winds, Astrochemistry",9
"Luminous Blue Variables (LBV), Evolved stars: Shaping/physical structure",3
"Active Galactic Nuclei (AGN)/Quasars (QSO), Spiral galaxies",9
"Starburst galaxies, Galaxy structure & evolution",9
"Lyman Alpha Emitters/Blobs (LAE/LAB), Galaxy structure & evolution",7
"Merging and interacting galaxies, Early-type galaxies",3
