ALMA_source_name,Obs.date,ID
J0423-0120,2024-11-23,uid://A001/X3621/X1db6
J0423-0120,2024-12-05,uid://A001/X2df7/X499
J0538-4405,2024-12-21,uid://A001/X362b/X453
J0501-0159,2024-12-21,uid://A001/X3622/X379
J0423-0120,2024-11-23,uid://A001/X3621/X24fd
J0538-4405,2024-12-20,uid://A001/X3622/X560
J0423-0120,2024-12-05,uid://A001/X362b/Xbb1
J0522-3627,2025-01-05,uid://A001/X362e/X295
J2357-5311,2024-12-14,uid://A001/X3621/X3e21
J0006-0623,2025-02-20,uid://A001/X362b/X75a
J0551-48,2024-12-04,uid://A001/X362b/X8dd
J0550-5732,2024-12-04,uid://A001/X362b/X8cd
J0423-0120,2024-12-14,uid://A001/X3621/X1db3
J0437-7148,2024-12-28,uid://A001/X3578/X18e
J0652,2024-11-24,uid://A001/X362b/X901
J2232+1143,2024-11-23,uid://A001/X362e/X447
J0538-4405,2024-10-08,uid://A001/X362e/X430
J0604,2024-12-06,uid://A001/X362b/X8d9
J1907+0127,2024-12-02,uid://A001/X3621/X343e
J1107-3043,2025-04-22,uid://A001/X3666/X260
12PPons-Brooks,3000-01-01,uid://A001/X3666/Xa1
J1037-2934,2024-01-12,uid://A001/X2d20/X21c5
J1924-2914,2020-12-23,uid://A001/X142c/X159
J2236+2828,2018-09-08,uid://A001/X87c/X7ff
G5127733,2024-07-14,uid://A001/X3577/X486
J0108+0135,2020-08-31,uid://A001/X133d/X22ec
J1838+0404,2024-10-09,uid://A001/X2d20/X3e2a
Pallas,2015-06-03,uid://A002/X5d7935/X2a5
J0348-2749,2021-03-24,uid://A001/X1465/X947
HD98922,2017-05-06,uid://A001/X2fe/Xb9b
J0538-4405,2015-06-30,uid://A002/X6444ba/Xab
hls2043s3,2023-05-30,uid://A001/X1590/X2d30
J0334-4008,2018-03-17,uid://A001/X879/Xc5
J0112+2244,2023-05-13,uid://A001/X1590/X139d
Sun,2023-09-30,uid://A001/X3571/X10c
J0334-4008,2017-05-11,uid://A001/X2fa/X7d
I18139-1842,2023-10-12,uid://A001/X1590/X3433
NGC6334F,2019-05-28,uid://A001/X1294/Xb
2MASS_J16161423-2643148,2019-12-10,uid://A001/X134b/X16
J0435+2532,2023-07-30,uid://A001/X15a1/X1acf
J0538-4405,2017-06-17,uid://A001/X2d8/X1f9
J2253+1608,2018-10-27,uid://A001/X128a/Xc9
J1058+0133,2018-04-05,uid://A001/X879/X684
2MASS_J16271273-2504017,2021-01-15,uid://A001/X134b/X13
HATLAS_RED_136,2020-01-24,uid://A001/X133d/X1e9f
J0744-1414,2018-10-18,uid://A001/X879/X5
ad3a-20135,2023-01-18,uid://A001/X1590/X18b4
z35_68,2017-04-04,uid://A002/Xac065b/X4c
J1049-6003,2019-02-28,uid://A001/X1284/X34c
J1507-1652,2018-07-21,uid://A001/X885/X35f
SPT0155-62,2021-02-18,uid://A001/X1465/X3369
GLMP_950,2023-12-22,uid://A001/X1590/Xaa0
J0133-5200,2021-03-02,uid://A001/X1465/X3361
J0006-0623,2023-05-27,uid://A001/X1590/X1391
21,2018-12-26,uid://A001/X1273/X9ad
Musca,2021-04-10,uid://A001/X14c3/X8bf
J0519-4546,2021-04-05,uid://A001/X1465/X276a
20003080,2024-03-23,uid://A001/X2d1f/X415
ad3a-25792,2019-03-02,uid://A001/X129e/X34b
LkHa_267,2018-05-12,uid://A001/X2fe/X711
J0527+0331,2022-09-22,uid://A001/X158e/X94
I18116-1646,2024-04-25,uid://A001/X1590/X3437
HELMS-45,2018-12-09,uid://A001/X1273/X6ab
ad3a-25141,2021-03-18,uid://A001/X1476/Xae
ad3a-25579,2023-01-20,uid://A001/X1590/X1868
