ALMA_source_name,Band
ESO501-075,6
NGC0628,3
J0141-0928,6
J2232+1143,6
J1924-2914,3
ESO300-G014,3
SUNRISE_ARC,6
J1924-2914,6
J0117+1418,9
J0238+1636,7
HeLMS-34,10
HOPS-33,6
J0423-0120,9
J0423-0120,6
J0423-0120,6
J0522-3627,9
J1010-0200,8
Sgr_A_star_OFF_0,3
COS-87259,6
ESO501-051,6
AS2COS044.1,6
J1037-2934,7
J1058+0133,5
IRAS_15398-3359,7
J2336-5236,3
HD_140390,6
HIP79044,7
HD_133820,6
Sgr_A_star_OFF_0,3
J1924-2914,3
J1924-2914,3
B335,6
Sgr_A_star_OFF_0,3
J1717-3342,3
G22.04+0.22,6
J1832-1035,3
J1832-2039,6
flow04_OFF_0,6
H74.3255+1.1005,6
J0120-2701,3
J2232+1143,3
J0108+0135,6
NGC_1371,3
SDSS_J014220.81-005331.1,7
RCrA_IRAS32,3
J0423-0120,7
J0438+3004,6
J0501-0159,8
J0423-0120,8
J0403-3605,9
HOPS-170,6
J0750+1231,7
J1058+0133,6
J1058+0133,8
NGC3312,6
IRAS_13120-5453,8
J1427-4206,6
J1504+1029,7
IRAS_15398-3359,7
J1427-4206,6
J1512+0203,3
J1924-2914,6
Vl000-168,3
J1851+0035,7
I18530+0215,6
J2301-0158,5
HSCJ2338+0143,6
J2329-4730,3
m33_brick2_box15,6
J2232+1143,6
J022627-045238,8
H62.3506-0.1971,6
J0218-0519,9
m33_brick2_box12_OFF_0,6
GSIRS51,9
HOPS-60,6
J0552+0313,7
J2321+2732,7
Sh2_283-5,7
HOPS-152,6
J0948+0022,6
J0927+3902,7
UGCA250,3
WNJ1123+3141-8,5
HerBS-156,4
B335,3
m33_brick3_box3_OFF_0,6
J2253+1608,8
J0217+0144,8
m33_brick1_box8_OFF_0,6
J0423-0120,7
J1924-2914,3
PAR0956+2847-169,7
Sun_reg,6
J1256-0547,6
Sun,3
J1408-0752,3
B335,8
J1642+2523,4
J1832-1035,3
J1820-2528,6
J1905+0952,3
J0006-0623,7
AS2UDS0014.0,5
xmm06,5
SDSS_J010113.36-002948.3,7
J0006-0623,6
J1924-2914,7
J015745.45+300110.68,7
SDSS_J021613.77-003334.8,7
J0204-1701,8
HOPS-159,6
J0501-0159,6
Mars,6
3c279,7
3c279,7
Orion KL,6
SDSSJ1356+1026,7
J0137-245B3Spec1,3
Titan,6
J1107-448,7
SPT_2146-55,3
J1107-448,3
Abell 1664,3
J1332+0200,3
J1256-057,6
J1316-336,3
J1625-254,6
Abell 1664,7
J1229+020,7
Abell 1835,7
vv114,3
J1517-243,7
am0318-230,3
J0538-440,3
J0538-440,3
J125610-054722,3
Titan,3
J040353-360513,3
SN1987A,6
J0909+013,6
VLA1623,6
3C279,6
J0909+013,6
J0607-085,6
J0637-752,7
J0909+013,6
J0909+013,6
3c279,6
J1924-292,6
ngc5018,3
1058+015,7
J1911-201,7
J0349-2102,3
HD 142527,6
J0635-7516,7
J1008+063; B1005+066,7
3c279,7
J1924-292,7
J1008+063; B1005+066,7
J1008+063; B1005+066,7
J1540+147,7
3C279,7
J0538-440,6
J1408-078,6
J2101-295,6
J0538-440,3
Titan,3
Titan,3
J2258-279,3
R CrA IRS7B,7
Neptune,3
HE2-10,3
J205615-471445,3
IRAS 16547-4247,7
SPT2134-50,7
J125610-054722,3
J0137-245,3
J125610-054722,3
J125610-054722,3
J1625-254,3
G35.20-0.74N,7
J1415+133,3
G15.v2.19,3
nrao530,3 6 7
3C279,7
3c279,9
3c273,9
J165809+074125,9
2348-165,9
3C279,7
J1733-130,7
J195801.72-074607.3,7
PKS1830-211,3
SPT0125-50,7
J0129-0035,7
J1911-201,7
3c279,7
Titan,7
J1427-421,7
3c279,7
IRAS 20551-4250,7
J1924-292,7
J125610-054722,7
3c454.3,7
J0339-017,7
Sombrero,6
3C273,6
3C279,7
Titan,7
Titan,9
3C279,9
3C279,9
3C273,3
HD 142527,9
Titan,7
J0106-405,7
NGC1433,7
Titan,3
J1329-5608,7
J0214-6149 ICRF,7
NGC4945,7
3c279,9
B1730-130,3
J2310+1855,6
J0403-360,7
Oph IRS 48,9
SgrB2-N,3
J1733-130,6 7
J1310+323,6
SPT0459-58,7
Titan,7
J1337-129,7
J2323-032,6
J0522-364,7
J1924-292,6
J2258-279,7
3c279,6
Lup_6,6
NGC1266,7
J1147-6753,7
J1700-261,3
CFHQSJ0210-0456,6
J053851-440507,3
J1415+133,6
J0403-360,7
3c279,6
3c454.3,6
IIZw096-Extended,9
NGC1068,9
Orion H2O maser outburst,7
J0423-013,9
3c279,9
J0403-360,7
J1717-337,3
J0334-401,3
am1300-233,3
J0403-360,7
sbs0335-052,7
NGC1614,7
J1604-446,3
Neptune,3
J0204-170,6
J0325+226,6
J2258-279,3
J0510+180,6
G34.43+00.24 MM3,6
J1751+096,6
J0418+380,7
SXDS2_22198,6
OphA-SM1N,7
J1924-292,7
SPT2311-54,7
J0510+180,9
0423-013,9
SPT2132-58,7
J1625-254,9
Callisto,6
Neptune,7
Callisto,7
L694-2,7
J0637-752,9
3c279,7
SXDS1_68849,6
J0339-017,6
L1527,6
J1700-261,3
Neptune,6
3c454.3,6
J0423-013,3
Ganymede,7
J1751+0939,7
J0538-440; B0537-441,9
J0538-440,9
J141243.16-202011.1,7
J0423-013,7
J2232+117,7
Mars,3
Neptune,3
3c279,6
J044907+112125,7
J1008+063; B1005+066,7
Titan,7
J0538-440,6
J0522-364,7
Callisto,7
J0455-462,7
J0423-013,6
J1008+063; B1005+066,7
MWC 480,7
Orion H2O maser outburst,7
OrionField3,7
J0538-440,7
J0538-440,7
J0530+135,9
J1008+063,7
J1008+063; B1005+066,7
Red_Rectangle,9
J0538-440,7
J1038-5311,9
Eta Carinae,7
J1038-5311,3
COS01-1,7
J1107-448,6
J0522-364,6
HBC 411,7
Neptune,6
J051002+180041,7
J0522-364,7
Titan,7
GRB020819,6
IRAS 05022+2527,6
J1058+015,7
J0510+180,7
HD 100546,7
Titan,7
3c279,7
AGN5,7
Titan,7
Titan,7
J053851-440507,6
OrionKL,6
GRB051022,6
Callisto,6
ngc4418,3
ngc4418,3
ngc4418,3
Titan,9
3C279,9
Callisto,6
J053056+133220,7
J0607-085,3
Ceres,3
IRAS15398-3359,3
J2225-049,3
3c279,6
Titan,6
Titan,6
J0423-013,9
J0607-085,9
J0927+390,9
J154929+023707,9
IRAS15398-3359,7
IRAS15398-3359,7
