name,x,y,z
A001,-33.8941259635723,-712.751648379266,-2.33008949622916
A002,-17.4539088663487,-709.608697236419,-2.32867141985557
A003,-22.5589292009902,-691.9838606867,-2.32374238442929
A004,-5.42101314454732,-723.791104543484,-2.33425051860951
A005,25.2459389865028,-744.431844526921,-2.33668425597284
A006,20.9463482400262,-721.464645994381,-2.3330178287423
A007,15.934535114871,-700.675748159302,-2.32967552012977
A008,9.4823358373427,-687.076474643391,-2.7291767265736
A009,-9.83510033265698,-663.826595683979,-2.72270426251944
A010,-20.8937151912055,-653.559981954602,-2.43766593979271
A011,37.8261781832673,-735.876081765372,-2.48474916182477
A012,36.7455862282406,-720.639490700345,-2.73299549772651
A013,0.965953711058617,-702.654983873605,-2.32587440791801
A014,16.4147401273497,-673.573615376784,-2.72574417330316
A015,10.7398794256429,-659.567363766163,-2.72626190730048
A016,-20.6204213364321,-633.907341816432,-2.52767283838315
A017,-6.71237268812183,-684.951937750849,-2.32694370028051
A018,-41.239298716146,-725.977727775368,-2.3366309699411
A019,-50.3041106919097,-711.209497979111,-2.33202476559475
A020,-61.0567538821493,-722.792878828256,-1.93442637913233
A021,-43.7591266792473,-692.174206978052,-2.32987320308513
A022,-43.644072283028,-652.742461282587,-2.32269680501966
A023,-59.4042933960733,-667.571739530866,-2.13036556790053
A024,-74.4746158754488,-684.657459497715,-2.129342648593
A025,-84.5230041941645,-704.893779920703,-1.93768176680862
A026,-86.872867544842,-732.262042576838,-1.92881021775742
A027,-93.1429245422512,-745.959480901687,-1.9414928385458
A028,-57.049928929676,-645.438845598774,-2.12905594894707
A029,-71.0060175834169,-655.828175292712,-2.12426033523596
A030,-68.4810736584245,-698.47078504325,-2.3347798885089
A031,-95.8997253985407,-694.890111113543,-1.92773991471489
A032,-103.295848204784,-719.778697662129,-1.93062751637723
A033,-105.438737687113,-755.003357013313,-1.6407528154964
A034,-76.9023209327324,-718.172758416694,-1.9290733376032
A035,-26.0418615714867,-726.18880881691,-2.33257505102307
A036,-15.3995125239272,-746.359227929024,-2.33187916072802
A037,-51.3338102635892,-746.674904546033,-2.33210401209669
A038,-80.4971567306579,-765.11183125861,-1.94259961922626
A039,-64.1890711315269,-771.149489577367,-1.940145206784
A040,-42.3395485755743,-777.860709267414,-2.33978151109369
A041,-23.0933925545669,-778.607936289819,-2.34077449067001
A042,2.38262267556682,-763.285557163069,-2.83887298850243
A043,17.10537160233,-766.533802920813,-2.84228671482379
A044,-80.0670300082364,-780.374023841007,-1.3364514147305
A045,-63.5052121921339,-786.819956804637,-1.34106065911567
