    um                erg/s/Hz
    1.000000e-05      4.758826e-49
    1.005542e-05      4.785197e-49
    1.011114e-05      9.695765e-49
    1.016717e-05      1.013105e-48
    1.022351e-05      1.060066e-48
    1.028016e-05      1.110747e-48
    1.033713e-05      1.165458e-48
    1.039441e-05      1.203754e-48
    1.045201e-05      1.230729e-48
    1.050993e-05      1.258547e-48
    1.056818e-05      1.287237e-48
    1.062674e-05      1.316843e-48
    1.068563e-05      1.347766e-48
    1.074484e-05      1.379679e-48
    1.080438e-05      1.412617e-48
    1.086426e-05      1.446614e-48
    1.092446e-05      1.481903e-48
    1.098500e-05      1.518582e-48
    1.104587e-05      1.556464e-48
    1.110708e-05      1.595591e-48
    1.116863e-05      1.636006e-48
    1.123052e-05      1.678187e-48
    1.129276e-05      1.721843e-48
    1.135534e-05      1.766963e-48
    1.141826e-05      1.813599e-48
    1.148154e-05      1.861961e-48
    1.154516e-05      1.912351e-48
    1.160914e-05      1.964463e-48
    1.167347e-05      2.018359e-48
    1.173816e-05      2.074102e-48
    1.180321e-05      2.132187e-48
    1.186861e-05      2.192467e-48
    1.193438e-05      2.254844e-48
    1.200052e-05      2.319396e-48
    1.206702e-05      2.386285e-48
    1.213389e-05      2.456112e-48
    1.220113e-05      2.528408e-48
    1.226874e-05      2.603263e-48
    1.233673e-05      2.680771e-48
    1.240509e-05      2.761430e-48
    1.247384e-05      2.845314e-48
    1.254296e-05      2.932209e-48
    1.261247e-05      3.022227e-48
    1.268236e-05      3.115482e-48
    1.275264e-05      3.212906e-48
    1.282331e-05      3.313902e-48
    1.289437e-05      3.418574e-48
    1.296582e-05      3.527059e-48
    1.303767e-05      3.639844e-48
    1.310992e-05      3.757327e-48
    1.318257e-05      3.879138e-48
    1.325562e-05      4.005438e-48
    1.332907e-05      4.136396e-48
    1.340294e-05      4.272998e-48
    1.347721e-05      4.414883e-48
    1.355189e-05      4.562054e-48
    1.362699e-05      4.714710e-48
    1.370251e-05      4.873300e-48
    1.377844e-05      5.038696e-48
    1.385479e-05      5.210313e-48
    1.393157e-05      5.388388e-48
    1.400877e-05      5.573168e-48
    1.408640e-05      5.765680e-48
